Species name,Family,Order,Life stage,MetricType,MetricValue,Latitude,Reference
Acanthomyops sp.,Formicidae,Hymenoptera,Adults,Ctmax,40,36,-1
Aenictus sp.,Formicidae,Hymenoptera,Adults,Ctmax,43.75,4,-1
Alphitobius diaperinus,Tenebrionidae,Coleoptera,Adults,Ctmax,46.75,48,-2
Amblyopone pallipes,Formicidae,Hymenoptera,Adults,Ctmax,40,36,-1
Anaphes ovijentatus,Chalcidoidea,Hymenoptera,Adults,Ctmax,47.6,34,-3
Anoplolepis custodiens,Formicidae,Hymenoptera,Adults,Ctmax,48.3,-29,-4
Anoplolepis gracilipes,Formicidae,Hymenoptera,Adults,Ctmax,45.25,4,-1
Apetaenus litoralis,Tethinidae,Diptera,Adults,Ctmax,34.6,-47,-5
Aphaenogaster carolinensis,Formicidae,Hymenoptera,Adults,Ctmax,40.7,36,-1
Aphaenogaster carolinensis,Formicidae,Hymenoptera,Adults,Ctmax,39.5,36,-1
Aphaenogaster fulva,Formicidae,Hymenoptera,Adults,Ctmax,41.8,36,-1
Aphaenogaster lamellidens,Formicidae,Hymenoptera,Adults,Ctmax,42,36,-1
Aphaenogaster rudis,Formicidae,Hymenoptera,Adults,Ctmax,38,43,-1
Aphaenogaster rudis,Formicidae,Hymenoptera,Adults,Ctmax,39.8,36,-1
Aphaenogaster rudis,Formicidae,Hymenoptera,Adults,Ctmax,40,36,-1
Aphaenogaster senilis,Formicidae,Hymenoptera,Adults,Ctmax,46,41,-6
Aphaenogaster sp.,Formicidae,Hymenoptera,Adults,Ctmax,42,39,-1
Aphaenogaster sp.,Formicidae,Hymenoptera,Adults,Ctmax,38,36,-1
Aphidius avenae,Ichneumonoidea,Hymenoptera,Adults,Ctmax,38.3,48,-7
Aphidius rhopalosiphi,Ichneumonoidea,Hymenoptera,Adults,Ctmax,38.1,48,-7
Apis mellifera,Apoidea,Hymenoptera,Adults,Ctmax,50.7,33,-8
Arenivaga apacha,Polyphagidae,Blattodea,Adults,Ctmax,42,34,-9
Arenivaga investigata,Polyphagidae,Blattodea,Adults,Ctmax,47.4,34,-9
Bothrometopus brevis,Curculionidae,Coleoptera,Adults,Ctmax,34.6,-53,-10
Bothrometopus elongatus,Curculionidae,Coleoptera,Adults,Ctmax,37.3,-47,-10
Bothrometopus gracilipes,Curculionidae,Coleoptera,Adults,Ctmax,36.8,-53,-10
Bothrometopus parvulus,Curculionidae,Coleoptera,Adults,Ctmax,37.3,-47,-10
Bothrometopus randi,Curculionidae,Coleoptera,Adults,Ctmax,36.6,-47,-10
Camponotus (Colobopsis; golden gaster),Formicidae,Hymenoptera,Adults,Ctmax,45.5,4,-1
Camponotus (Colobopsis; red heads),Formicidae,Hymenoptera,Adults,Ctmax,46.25,4,-1
Camponotus americanus,Formicidae,Hymenoptera,Adults,Ctmax,42.8,36,-1
Camponotus castaneus,Formicidae,Hymenoptera,Adults,Ctmax,40.5,36,-1
Camponotus chromaiodes,Formicidae,Hymenoptera,Adults,Ctmax,44,38,-1
Camponotus chromaiodes,Formicidae,Hymenoptera,Adults,Ctmax,44,36,-1
Camponotus cruentatus,Formicidae,Hymenoptera,Adults,Ctmax,48,41,-6
Camponotus foreli,Formicidae,Hymenoptera,Adults,Ctmax,48,41,-6
Camponotus novaeboracensis,Formicidae,Hymenoptera,Adults,Ctmax,40,43,-1
Camponotus pennsylvanicus,Formicidae,Hymenoptera,Adults,Ctmax,40,43,-1
Camponotus sp.,Formicidae,Hymenoptera,Adults,Ctmax,45,4,-1
Camponotus sylvaticus,Formicidae,Hymenoptera,Adults,Ctmax,46,41,-6
Canonopsis sericeus,Curculionidae,Coleoptera,Adults,Ctmax,36.1,-53,-10
Cardiocondyla sp.,Formicidae,Hymenoptera,Adults,Ctmax,44.25,4,-1
Cataglyphis bicolor,Formicidae,Hymenoptera,Adults,Ctmax,55.1,35,-11
Cataglyphis bombycina,Formicidae,Hymenoptera,Adults,Ctmax,53.6,35,-11
Cataglyphis cursor,Formicidae,Hymenoptera,Adults,Ctmax,50,41,-6
Cataglyphis cursor,Formicidae,Hymenoptera,Adults,Ctmax,53.6,23,-12
Cataulacus horridus,Formicidae,Hymenoptera,Adults,Ctmax,43.25,4,-1
Ceratitis capitata,Tephritidae,Diptera,Adults,Ctmax,41.9,-34,-13
Ceratitis capitata,Tephritidae,Diptera,Adults,Ctmax,41.5,1,-13
Ceratitis rosa,Tephritidae,Diptera,Adults,Ctmax,42.2,-34,-13
Ceratosolen arabicus,Chalcidoidea,Hymenoptera,Adults,Ctmax,40.07,-24,-14
Ceratosolen galili,Chalcidoidea,Hymenoptera,Adults,Ctmax,37.12,-24,-14
Cetonischema aeruginosa,Cetoniidae,Coleoptera,Larvae,Ctmax,51.4,48,-15
Chirodica chalcoptera,Chrysomelidae,Coleoptera,Adults,Ctmax,41.8,-34,-16
Coptotermes formosanus,Rhinotermitidae,Isoptera,Adults,Ctmax,45.6,33,-17
Coptotermes formosanus,Rhinotermitidae,Isoptera,Adults,Ctmax,46.3,33,-18
Crematogaster (big; yellow),Formicidae,Hymenoptera,Adults,Ctmax,47.75,4,-1
Crematogaster (Physocrema),Formicidae,Hymenoptera,Adults,Ctmax,40.75,4,-1
Crematogaster inflata,Formicidae,Hymenoptera,Adults,Ctmax,47.75,4,-1
Crematogaster lineolata,Formicidae,Hymenoptera,Adults,Ctmax,43.25,43,-1
Crematogaster lineolata,Formicidae,Hymenoptera,Adults,Ctmax,46.25,36,-1
Crematogaster lineolata,Formicidae,Hymenoptera,Adults,Ctmax,46.1,36,-1
Crematogaster sp.,Formicidae,Hymenoptera,Adults,Ctmax,45.5,4,-1
Crematogaster sp.,Formicidae,Hymenoptera,Adults,Ctmax,48,4,-1
Cysteodemus armatus,Meloidae,Coleoptera,Adults,Ctmax,47.1,33,-19
Dolichoderus beccarii,Formicidae,Hymenoptera,Adults,Ctmax,45,4,-1
Dolichoderus beccarii,Formicidae,Hymenoptera,Adults,Ctmax,46.25,4,-1
Dolichoderus cf. cuspidatus,Formicidae,Hymenoptera,Adults,Ctmax,45.5,4,-1
Dolichoderus cuspidatus,Formicidae,Hymenoptera,Adults,Ctmax,44.5,4,-1
Drosophila bipectinata,Drosophilidae,Diptera,Adults,Ctmax,37.4,-17,-20
Drosophila bipectinata,Drosophilidae,Diptera,Adults,Ctmax,39,-17,-21
Drosophila birchii,Drosophilidae,Diptera,Adults,Ctmax,NA,-28,-22
Drosophila birchii,Drosophilidae,Diptera,Adults,Ctmax,37.2,-17,-20
Drosophila birchii,Drosophilidae,Diptera,Adults,Ctmax,39,-17,-21
Drosophila bunnanda,Drosophilidae,Diptera,Adults,Ctmax,37.4,-18,-20
Drosophila bunnanda,Drosophilidae,Diptera,Adults,Ctmax,38.6,-18,-21
Drosophila busckii,Drosophilidae,Diptera,Adults,Ctmax,36.3,-19,-20
Drosophila busckii,Drosophilidae,Diptera,Adults,Ctmax,39.5,-19,-21
Drosophila buzzatii,Drosophilidae,Diptera,Adults,Ctmax,NA,-28,-23
Drosophila buzzatii,Drosophilidae,Diptera,Adults,Ctmax,NA,-24,-23
Drosophila falleni,Drosophilidae,Diptera,Adults,Ctmax,40,35,-24
Drosophila hydei,Drosophilidae,Diptera,Adults,Ctmax,38.2,-38,-20
Drosophila hydei,Drosophilidae,Diptera,Adults,Ctmax,39.2,-38,-21
Drosophila melanogaster,Drosophilidae,Diptera,Adults,Ctmax,NA,-13,-22
Drosophila melanogaster,Drosophilidae,Diptera,Adults,Ctmax,38,-38,-20
Drosophila melanogaster,Drosophilidae,Diptera,Adults,Ctmax,40.5,-38,-21
