Species name,Family,Order,Life stage,Metric,LT50,LT100,TimeLT100,TimeLT50,Latitude,Reference
Adesmia antiqua,Tenebrionidae,Coleoptera,Adults,ULT,50,NA,NA,150,16,-53
Agriotes sputator,Elateridae,Coleoptera,Larvae,ULT,39.5,NA,NA,50,52,-54
Anaphes ovijentatus,Chalcidoidea,Hymenoptera,Adults,ULT,30,NA,NA,NA,34,-3
Anastrepha ludens,Tephritidae,Diptera,Larvae,ULT,NA,43.3,300,NA,19,-55
Anastrepha suspensa,Tephritidae,Diptera,Larvae,ULT,NA,46.1,32.7,NA,26,-56
Anoplolepis custodiens,Formicidae,Hymenoptera,Adults,ULT,48,NA,NA,60,-29,-4
Antarctopsocus jeanneli,Elipsocidae,Psocoptera,Adults,ULT,29.5,NA,NA,60,-47,-57
Aoteapsyche colonica,Aoteapsyche,Trichoptera,Larvae,ULT,27.8,33.6,NA,NA,-38,-58
Aphaenogaster senilis,Formicidae,Hymenoptera,Adults,ULT,NA,50,1,NA,41,-6
Bactrocera tryoni,Tephritidae,Diptera,Larvae,ULT,46,46,8.7,2.5,-23,-59
Bactrocera tryoni,Tephritidae,Diptera,Eggs,ULT,46,46,6.6,2.5,-23,-59
Bothrometopus elongatus,Curculionidae,Coleoptera,Adults,ULT,NA,36,60,NA,-47,-60
Bothrometopus parvulus,Curculionidae,Coleoptera,Adults,ULT,NA,37,60,NA,-47,-60
Bothrometopus randi,Curculionidae,Coleoptera,Adults,ULT,NA,37,60,NA,-47,-60
Calliphora chloropyga,Calliphoridae,Diptera,Adults,ULT,49.5,NA,NA,60,-33,-61
Calliphora croceipalpis,Calliphoridae,Diptera,Adults,ULT,43,NA,NA,60,-33,-61
Calliphora megacephala,Calliphoridae,Diptera,Adults,ULT,49,NA,NA,60,-33,-61
Calliphora putoria,Calliphoridae,Diptera,Adults,ULT,48.5,NA,NA,60,-33,-61
Camponotus cruentatus,Formicidae,Hymenoptera,Adults,ULT,NA,52,1,NA,41,-6
Camponotus foreli,Formicidae,Hymenoptera,Adults,ULT,NA,52,1,NA,41,-6
Camponotus sylvaticus,Formicidae,Hymenoptera,Adults,ULT,NA,48,1,NA,41,-6
Cataglyphis cursor,Formicidae,Hymenoptera,Adults,ULT,NA,56,1,NA,41,-6
Centrioptera muricata,Tenebrionidae,Coleoptera,Adults,ULT,NA,47,50,NA,33,-62
Ceratitis capitata,Tephritidae,Diptera,Eggs,ULT,NA,47.2,1,NA,21,-63
Ceratitis capitata,Tephritidae,Diptera,Larvae,ULT,NA,46.2,1,NA,21,-63
Chrysomya albiceps,Calliphoridae,Diptera,Adults,ULT,49,NA,NA,60,-33,-61
Chrysomya marginalis,Calliphoridae,Diptera,Adults,ULT,50,NA,NA,60,-33,-61
Coptotermes formosanus,Rhinotermitidae,Isoptera,Adults,ULT,NA,49.5,NA,NA,33,-17
Coptotermes formosanus,Rhinotermitidae,Isoptera,Adults,ULT,NA,48,NA,NA,33,-18
Dacus cucurbitae,Tephritidae,Diptera,Eggs,ULT,NA,46.2,1,NA,21,-63
Dacus cucurbitae,Tephritidae,Diptera,Larvae,ULT,NA,46.2,1,NA,21,-63
Dacus dorsalis,Tephritidae,Diptera,Eggs,ULT,NA,46.2,1,NA,21,-63
Dacus dorsalis,Tephritidae,Diptera,Larvae,ULT,NA,46.2,1,NA,21,-63
Deleatidium sp.,Leptophlebiidae,Ephemeroptera,Larvae,ULT,26.4,28.4,NA,NA,-38,-58
Drosophila albomicans,Drosophilidae,Diptera,Adults,ULT,32.45,NA,NA,1440,24,-64
Drosophila angularis,Drosophilidae,Diptera,Adults,ULT,34.4,NA,NA,1440,36,-64
Drosophila annulipes,Drosophilidae,Diptera,Adults,ULT,NA,30,6096,NA,35,-65
Drosophila auraria,Drosophilidae,Diptera,Adults,ULT,33.75,NA,NA,1440,43,-64
Drosophila auraria,Drosophilidae,Diptera,Adults,ULT,33.5,NA,NA,1440,36,-64
Drosophila biauraria,Drosophilidae,Diptera,Adults,ULT,30,NA,NA,NA,43,-66
Drosophila biauraria,Drosophilidae,Diptera,Adults,ULT,32.5,NA,NA,1440,43,-64
Drosophila bifasciata,Drosophilidae,Diptera,Adults,ULT,NA,30,2364,NA,35,-65
Drosophila bipectinata,Drosophilidae,Diptera,Adults,ULT,33.35,NA,NA,1440,24,-64
Drosophila bizonata,Drosophilidae,Diptera,Adults,ULT,NA,30,6672,NA,35,-65
Drosophila bizonata,Drosophilidae,Diptera,Adults,ULT,32.85,NA,NA,1440,36,-64
Drosophila bizonata,Drosophilidae,Diptera,Adults,ULT,31.5,NA,NA,1440,24,-64
Drosophila bocki,Drosophilidae,Diptera,Adults,ULT,33.2,NA,NA,1440,24,-64
Drosophila brachynephros,Drosophilidae,Diptera,Adults,ULT,33.55,NA,NA,1440,43,-64
Drosophila busckii,Drosophilidae,Diptera,Adults,ULT,NA,30,6252,NA,35,-65
Drosophila curviceps,Drosophilidae,Diptera,Adults,ULT,NA,30,2592,NA,35,-65
Drosophila curviceps,Drosophilidae,Diptera,Adults,ULT,NA,29,2880,NA,29,-67
Drosophila curvispina,Drosophilidae,Diptera,Adults,ULT,32.55,NA,NA,1440,43,-64
Drosophila daruma,Drosophilidae,Diptera,Adults,ULT,32.95,NA,NA,1440,36,-64
Drosophila daruma,Drosophilidae,Diptera,Adults,ULT,32.7,NA,NA,1440,24,-64
Drosophila elegans,Drosophilidae,Diptera,Adults,ULT,33.7,NA,NA,1440,24,-64
Drosophila ficusphila,Drosophilidae,Diptera,Adults,ULT,NA,30,2910,NA,35,-65
Drosophila ficusphila,Drosophilidae,Diptera,Adults,ULT,33.45,NA,NA,1440,24,-64
Drosophila guttifera,Drosophilidae,Diptera,Adults,ULT,38,NA,NA,56.3,45,-25
Drosophila hydei,Drosophilidae,Diptera,Adults,ULT,NA,30,3252,NA,35,-65
Drosophila immigrans,Drosophilidae,Diptera,Adults,ULT,NA,30,4890,NA,35,-65
Drosophila immigrans,Drosophilidae,Diptera,Adults,ULT,NA,29,23040,NA,36,-67
Drosophila kanekoi,Drosophilidae,Diptera,Adults,ULT,35.4,NA,NA,1440,43,-64
Drosophila lacertosa,Drosophilidae,Diptera,Adults,ULT,NA,30,4500,NA,35,-65
Drosophila lacertosa,Drosophilidae,Diptera,Adults,ULT,31,NA,NA,1440,43,-64
Drosophila lacteicornis,Drosophilidae,Diptera,Adults,ULT,32.35,NA,NA,1440,24,-64
Drosophila lutescens,Drosophilidae,Diptera,Adults,ULT,30.5,NA,NA,NA,40,-66
Drosophila lutescens,Drosophilidae,Diptera,Adults,ULT,NA,30,3660,NA,35,-65
Drosophila lutescens,Drosophilidae,Diptera,Adults,ULT,31.15,NA,NA,1440,36,-64
Drosophila melanogaster,Drosophilidae,Diptera,Adults,ULT,NA,30,3024,NA,35,-65
Drosophila melanogaster,Drosophilidae,Diptera,Adults,ULT,39.5,40,30,30,44,-68
Drosophila melanogaster,Drosophilidae,Diptera,Adults,ULT,40,40.5,30,30,12,-68
Drosophila mettleri,Drosophilidae,Diptera,Adults,ULT,NA,42,100,NA,33,-69
Drosophila mojavensis,Drosophilidae,Diptera,Adults,ULT,NA,46,100,NA,28,-69
Drosophila neotestacea,Drosophilidae,Diptera,Adults,ULT,38,NA,NA,31.4,43,-25
Drosophila nigrospiracula,Drosophilidae,Diptera,Adults,ULT,NA,44,100,NA,33,-69
Drosophila nigrospiracula,Drosophilidae,Diptera,Adults,ULT,34,NA,NA,1440,43,-64
Drosophila orientacea,Drosophilidae,Diptera,Adults,ULT,31.75,NA,NA,1440,43,-64
Drosophila pachea,Drosophilidae,Diptera,Adults,ULT,NA,46,100,NA,28,-69
Drosophila pulchrella,Drosophilidae,Diptera,Adults,ULT,NA,30,2388,NA,35,-65
Drosophila putrida,Drosophilidae,Diptera,Adults,ULT,38,NA,NA,34,43,-25
Drosophila quadrilineata,Drosophilidae,Diptera,Adults,ULT,33.75,NA,NA,1440,24,-64
Drosophila recens,Drosophilidae,Diptera,Adults,ULT,38,NA,NA,31.4,43,-25
Drosophila ruberrima,Drosophilidae,Diptera,Adults,ULT,32,NA,NA,1440,24,-64
Drosophila rufa,Drosophilidae,Diptera,Adults,ULT,29,NA,NA,NA,40,-66
Drosophila rufa,Drosophilidae,Diptera,Adults,ULT,NA,30,5166,NA,35,-65
Drosophila rufa,Drosophilidae,Diptera,Adults,ULT,32.75,NA,NA,1440,36,-64
Drosophila serrata,Drosophilidae,Diptera,Adults,ULT,38,NA,NA,25,-28,-70
Drosophila simulans,Drosophilidae,Diptera,Adults,ULT,NA,30,2190,NA,35,-65
Drosophila sternopleuralis,Drosophilidae,Diptera,Adults,ULT,NA,30,4980,NA,35,-65
Drosophila sternopleuralis,Drosophilidae,Diptera,Adults,ULT,31.45,NA,NA,1440,36,-64
Drosophila subauraria,Drosophilidae,Diptera,Adults,ULT,33,NA,NA,NA,44,-66
Drosophila suzukii,Drosophilidae,Diptera,Adults,ULT,NA,30,2448,NA,35,-65
Drosophila suzukii,Drosophilidae,Diptera,Adults,ULT,32.4,NA,NA,1440,43,-64
Drosophila suzukii,Drosophilidae,Diptera,Adults,ULT,32.5,NA,NA,1440,36,-64
Drosophila takahashii,Drosophilidae,Diptera,Adults,ULT,33,NA,NA,NA,26,-66
Drosophila takahashii,Drosophilidae,Diptera,Adults,ULT,32.5,NA,NA,1440,24,-64
Drosophila trapezifrons,Drosophilidae,Diptera,Adults,ULT,NA,36,30,NA,25,-71
Drosophila triauraria,Drosophilidae,Diptera,Adults,ULT,33,NA,NA,NA,37,-66
Drosophila triauraria,Drosophilidae,Diptera,Adults,ULT,NA,39,30,NA,37,-71
Drosophila unispina,Drosophilidae,Diptera,Adults,ULT,32.1,NA,NA,1440,43,-64
Drosophila watanabei,Drosophilidae,Diptera,Adults,ULT,NA,41,30,NA,23,-71
Ectemnorhinus marioni,Curculionidae,Coleoptera,Adults,ULT,NA,38,60,NA,-47,-60
Ectemnorhinus similis,Curculionidae,Coleoptera,Adults,ULT,NA,36,60,NA,-47,-60
Embryonopsis halticella,Plutellidae,Lepidoptera,Larvae,ULT,38,43,60,60,-47,-72
Embryonopsis halticella,Plutellidae,Lepidoptera,Larvae,ULT,38,43,60,60,-53,-72
Frankliniella occidentalis,Thripidae,Thysanoptera,Adults,ULT,NA,41,120,NA,30,-73
Glossina submorsitans,Glossinidae,Diptera,Adults,ULT,NA,44,60,NA,12,-74
Gnathamitermes perplexus,Termitidae,Isoptera,Adults,ULT,54,NA,NA,1,32,-75
Hodotermes mossambicu,Hodotermitidae,Isoptera,Adults,ULT,42.36,NA,NA,NA,-29,-30
Hodotermes mossambicu,Hodotermitidae,Isoptera,Adults,ULT,42.96,NA,NA,NA,-29,-30
Halmaeusa atriceps,Staphylinidae,Coleoptera,Adults,ULT,32.5,NA,NA,60,-47,-57
Hirtodrosophila histriodes,Drosophilidae,Diptera,Adults,ULT,32.35,NA,NA,1440,43,-64
Hydromedion sparsutum,Perimylopidae,Coleoptera,Larvae,ULT,33.5,35,15,15,-54,-76
Linepithema humile,Formicidae,Hymenoptera,Adults,ULT,41.9,NA,NA,NA,-34,-34
Lucilia sericata,Calliphoridae,Diptera,Adults,ULT,48,NA,NA,60,-33,-61
Melophorus bagoti,Formicidae,Hymenoptera,Adults,ULT,NA,56,30,NA,-24,-35
Messor bouvieri,Formicidae,Hymenoptera,Adults,ULT,NA,46,1,NA,41,-6
Messor capitatus,Formicidae,Hymenoptera,Adults,ULT,NA,46,1,NA,41,-6
Myzus ornatus,Aphididae,Hemiptera,Adults,ULT,40.5,NA,NA,NA,-38,-52
Myzus persicae,Aphididae,Hemiptera,Adults,ULT,42,NA,NA,NA,52,-52
Myzus polaris,Aphididae,Hemiptera,Adults,ULT,41.24,NA,NA,NA,67,-52
Nebrioporus baeticus,Dytiscidae,Coleoptera,Adults,ULT,NA,45.3,NA,NA,38,-77
Nebrioporus ceresyi,Dytiscidae,Coleoptera,Adults,ULT,NA,45.4,NA,NA,38,-77
Nysius groenlandicus,Lygaeidae,Hemiptera,Adults,ULT,NA,52.8,1,NA,69,-39
Ocymyrmex weitzeckeri,Scolioidea,Hymenoptera,Adults,ULT,42.5,NA,NA,60,-29,-4
Palirhoeus eatoni,Curculionidae,Coleoptera,Adults,ULT,NA,36,60,NA,-47,-60
Paractora dreuxi,Helcomyzidae,Diptera,Adults,ULT,30,31,60,60,-47,-42
Paractora dreuxi,Helcomyzidae,Diptera,Larvae,ULT,32.5,34,60,60,-47,-42
Pheidole pallidula,Formicidae,Hymenoptera,Adults,ULT,NA,42,1,NA,41,-6
Phytomyza ilicis,Agromyzidae,Diptera,Larvae,ULT,42,43,60,60,53,-78
Pimelia grandis,Tenebrionidae,Coleoptera,Adults,ULT,50,NA,NA,105,16,-53
Plagiolepis pygmaea,Formicidae,Hymenoptera,Adults,ULT,NA,42,1,NA,41,-6
Plathemis lydia,Libellulidae,Odonata,Nymphs,ULT,NA,44,60,NA,39,-79
Pringleophaga marioni,Tineidae,Lepidoptera,Larvae,ULT,NA,38,60,NA,-47,-44
Pycnocentrodes aureola,Conoesucidae,Trichoptera,Larvae,ULT,32.4,35,NA,NA,-38,-58
Pyconocenria evecta,Conoesucidae,Trichoptera,Larvae,ULT,30.4,33.5,NA,NA,-38,-58
Reticultermes flavipes,Scarabaeidae,Coleoptera,Adults,ULT,NA,46,NA,NA,33,-17
Reticultermes flavipes,Scarabaeidae,Coleoptera,Adults,ULT,NA,46.4,NA,NA,33,-18
Sarcophaga crassipalpis,Sarcophagidae,Diptera,Larvae,ULT,45,45,35,18,40,-80
Sarcophaga crassipalpis,Sarcophagidae,Diptera,Pupae,ULT,45,45,50,19,40,-80
Sarcophaga crassipalpis,Sarcophagidae,Diptera,Adults,ULT,45,45,80,65,40,-80
Scaptodrosophila bryani,Drosophilidae,Diptera,Adults,ULT,35.5,NA,NA,1440,24,-64
Scaptodrosophila coracina,Drosophilidae,Diptera,Adults,ULT,34.4,NA,NA,1440,43,-64
Scaptodrosophila coracina,Drosophilidae,Diptera,Adults,ULT,34.5,NA,NA,1440,24,-64
Scaptodrosophila dorsocentralis,Drosophilidae,Diptera,Adults,ULT,33.95,NA,NA,1440,24,-64
Scaptodrosophila pallida,Drosophilidae,Diptera,Adults,ULT,33.8,NA,NA,1440,43,-64
Sitophilus zeamais,Curculionidae,Coleoptera,Adults,ULT,NA,48.6,NA,NA,39,-45
Sitophilus zeamais,Curculionidae,Coleoptera,Adults,ULT,NA,50,NA,NA,45,45)
Tapinoma nigerrimum,Formicidae,Hymenoptera,Adults,ULT,NA,44,1,NA,41,-6
Tetramorium semilaeve,Formicidae,Hymenoptera,Adults,ULT,NA,42,1,NA,41,-6
Trichogramma brassicae,Trichogrammatidae,Hymenoptera,Pupae,ULT,40,NA,NA,285,-36,-81
Trichogramma carverae,Trichogrammatidae,Hymenoptera,Adults,ULT,40,NA,NA,120,-34,-82
Zelandobius furcillatus,Gripopterygidae,Plecoptera,Larvae,ULT,26,29.1,NA,NA,-38,-58
Zephlebia dentata,Leptophlebiidae,Ephemeroptera,Larvae,ULT,26.9,29.4,NA,NA,-38,-58
Adelges tsugae,Adelgidae,Hemiptera,Adults,LLT,NA,-35,120,NA,42,-83
Adesmia antiqua,Tenebrionidae,Coleoptera,Adults,LLT,-10,NA,NA,55,16,-53
Afrinus sp.,Tenebrionidae,Coleoptera,Adults,LLT,-6.8,NA,NA,60,-32,-84
Aleochara bilineata,Staphylinidae,Coleoptera,Pupae,LLT,NA,-14.8,17280,NA,51,-85
Alphitobius diaperinus,Tenebrionidae,Coleoptera,Adults,LLT,6,6,27360,12960,48,-86
Antarctopsocus jeanneli,Elipsocidae,Psocoptera,Adults,LLT,-13,NA,NA,60,-47,-57
Anthonomus pomorum,Curculionidae,Coleoptera,Adults,LLT,NA,-7,7200,NA,49,-87
