Species,Order,Family,Genus,Species.1,BDT.C,UDT.C,EADDC,EEDDC,OS,ET,LT,TL1,TL2,TL3,TL4,TL5,TP,TMA,TOA,DE,DLT,D1,D2,D3,D4,D5,DP,DMA,DOA,DBE,DBLT,DB1,DB2,DB3,DB4,DB5,DBP,DBMA,DBOA,pest,aquatic,pupal,parasitoid,Author,Year,Title,Journal,Vol,Pages,Location,lon,lat,quality,index
Acanthomia tomentosicollis,Hymenoptera,Scelionidae,Acanthomia,tomentosicollis,13.6,NA,276.7,NA,NA,15.3,12.8,NA,NA,NA,NA,NA,NA,NA,NA,63.9,215.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Egwuatu R.I., Ajibola Taylor T.",1977,"The effects of constant and fluctuating temperatures on the development of Acanthomia tomentosicollis Stal (Hemiptera, Coccidae).",J. Nat. Hist.,11,601 - 608,"Cayuga County, NY, USA",-76.5488,42.7655,2,765
Acerophagus coccois,Hymenoptera,Encyrtidae,Acerophagus,coccois,14.7,NA,192.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Herrera C.J., Van Driesche R.G., Bellotti H.C.",1989,"Temperature-dependent growth rates for the cassava mealybug, Phenacoccus herreni, and two of its encyrtid parasitoids Epidinocarsis diversicornis and Acerophagus coccois in Colombia.",Entomologia Experimentalis et Applicata,50,21-27,"Cali - Cordoba, Colombia",-75.6088,8.848123,2,687
Acizzia uncatoides,Homoptera,Psyllidae,Acizzia,uncatoides,0,NA,442.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Madubunyi, L.C. and Koehler, C.S.",1974,"Development, survival and capacity for increase of the Albizzia psyllid at various constant temperatures.",Environmental Entomology,3(6),1013-1016,"Berkeley, CA",-122.272747,37.8715926,3,575
Acrolepiopsis assectella,Lepidoptera,Yponomeutidae,Acrolepiopsis,assectella,6,34,645,673,pupae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,324,NA,NA,NA,NA,NA,#,#,NA,1,0,1,0,"Borchert, D",2003,NA,Pest Assessment- see attached hyperlink,NA,NA,"Uppsala, Sweden",17.63853,59.85425,3,1002
Acrolepiopsis assectella,Lepidoptera,Acrolepiidae,Acrolepiopsis,assectella,5.99,NA,638.2,NA,adult,8.17,4.75,NA,NA,NA,NA,NA,6.15,NA,NA,89.5,365.43,NA,NA,NA,NA,NA,193.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"Asman, K.",2001,"Effect of temperature on development and activity periods of the leek moth Acrolepiopsis assectella Zell. (Lep., Acrolepiidae)",Journal of Applied Entomology,125,361-364,"Uppsala, Sweeden",17.63893,59.85856,2,800
Acrolepiopsis assectella,Lepidoptera,Acrolepiidae,Acrolepiopsis,assectella,6.44,NA,638.2,NA,adult,8.49,5.17,NA,NA,NA,NA,NA,6.68,NA,NA,89.5,365.43,NA,NA,NA,NA,NA,193.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"Asman, K.",2001,"Effect of temperature on development and activity periods of the leek moth Acrolepiopsis assectella Zell. (Lep., Acrolepiidae)",Journal of Applied Entomology,125,361-364,"Uppsala, Sweeden",17.63893,59.85856,2,800
Acrosternum hilare,Hemiptera,Pentatomidae,Acrosternum,hilare,13.3,NA,541.4,NA,NA,12.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,113.1,429.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Simmons A.M., Yeargan K.V.",1988,"Development and survivorship of the green stink bug, Acrosternum hilare (Hemiptera: Pentatomidae) on soybean.",Environmental Entomology,17,527-532,"Lexington, Kentucky",-84.5073,38.02908,3,367
Acyrthosiphon gossypii,Homoptera,Aphididae,Acyrthosiphon,gossypii,5.72,25,116.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Nakata, T.",1996,Epidemiology of virus disease of potato with special reference of aphid vectors.,"Experimental Report of National Agricultural Research Center
 
 for Hokkaido Region of Japan, Mushivol.",71,2-1-1(inJapanese).,"Hokkaido, Japan",133.2141476,33.1657052,4,412
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,2.8,NA,140.4,NA,NA,-,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Hochberg, M. E., J. Pickering, et al.",1986,"Evaluation of phenology models using field data: case study for the pea aphid, Acyrthosiphon pisum, and the blue alfalfa aphid, Acyrthosiphon kondoi (Homoptera: Aphididae)",Environmental Entomology,15,227-231,"Albany, California",-119.418,36.77826,1,413
Acyrthosiphon kondoi,Homoptera,Aphididae,Acyrthosiphon,kondoi,2.6,NA,155.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Rohitha B.H., Penman D.R.",1983,"Effect of temperature on the biology of bluegreen lucerne aphid, Acyrthosiphon kondoi.",New Zealand Journal of Zoology,10,299-308,"Canterbury, New Zealand",171.1637245,-43.7542275,2,414
