"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"1","Tyrophagus putrescentiae","Acari","Acaridae","Tyrophagus","putrescentiae",5,36.1,291.4,NA,"","4.4",9.68,6.1,"7.3","6.3","","",NA,NA,NA,"112.3",89.81,"63.8","37.8","52.4","","",NA,NA,NA,"105.3",186.1,72.4,52.3,61.4,NA,"","-",NA,"","S†nchez-Ramos, I. and P. Casta§era",2001,"Development and survival of Tyrophagus putrescentiae (Acari: Acaridae) at constant temperatures.","Environmental Entomology","30","1082-1089","Spain, Almendralejo","",5,-6.4058423,38.6914575
"2","Epitrimerus pyri","Acari","Eriophyidae","Epitrimerus","pyri",3.8,NA,144.9,NA,"","2.2",3.3,NA,"","","","",NA,5.12,NA,"93.5",78.7,"","","","","",NA,37.3,NA,"75",70,NA,NA,NA,NA,"","-",39,"","Bergh, J. C.",1994," Pear rust mite (Acari: Eriophyidae) fecundity and development at constant temperatures","Environmental Entomology","23"," 420-424","Canada, British Columbia ","",3.8,-127.6476206,53.7266683
"4","Epitrimerus pyri","Acari","Eriophyidae","Epitrimerus","pyri",5.31,NA,162.9,189.5,"","5.5",5,NA,"","","","",NA,NA,NA,"81.9",80,"","","","","",NA,NA,NA,"83",79.9,21.9,24,15,19,"","-",26.6,"","Easterbrook, M.A.",1978,"The life-history and bionomics of Epitrimerus piri (Acarina: Eriophyidae) on pear","Annals of Applied Biology","88"," 13-22","United Kingdom","",5.31,-3.435973,55.378051
"7","Amphitetranychus viennensis","Acari","Tetranychidae","Amphitetranychus","viennensis",11.49,NA,168.92,196.5,"","11.42",11.51,NA,"","","","",NA,11.12,NA,"75.19",93.56,"","","","","",NA,26.32,NA,"73.12",95.8,17.8,16.3,16.3,12.4,"33","-",27.58,"","Gotoh, T.",1987,"Developmental zero of Tetranychus viennensis Zacher (Acarina: Tetranychidae) on deciduous oak.","Japanese Journal of Applied Entomology and Zoology","31","174-175","Japan, Ibaraki","",11.49,140.4245143,36.2869206
"8","Amphitetranychus viennensis","Acari","Tetranychidae","Amphitetranychus","viennensis",9.07,NA,185.18,NA,"","9.72",NA,NA,"","","","",NA,NA,NA,"72.99",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Kasap, I.",2003,"Life history of hawthorn spider mite <i>Amphitetranychus viennensis</i> (Acarina: Tetranychidae) on various apple cultivars and at different temperatures.","Experimental and Applied Acarology","31","79-91","Turkey, Van","",9.07,43.3729793,38.5012085
"9","Eotetranychus carpini","Acari","Tetranychidae","Eotetranychus","carpini",9.21,30.3,68.59,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bonato, O., Cotton, D., Kreiter, S. and Gutierrez, J.",1990,"Influence of temperature on the life-history parameters of the yellow grape-vine mite Eotetranychus carpini (Oudemans) (Acari: Tetranychidae).","Int. J. Acarol.","16","241-245.","","",9.21,43.3729793,38.5012085
"10","Eotetranychus carpini borealis","Acari","Tetranychidae","Eotetranychus","carpini borealis",3.33,35,317.5,NA,"","6.62",0.82,NA,"","","","",NA,NA,NA,"78.5",248.8,"","","","","",NA,NA,NA,"99.6",217.8,39.7,23.2,34,31.9,"89","-",NA,"","Bounfour, M. and L. K. Tanigoshi",2001,"Effect of temperature on development and demographic parameters of Tetranychus urticae and Eotetranychus carpini borealis (Acari: Tetranychidae)","Annals of the Entomological Society of America","94"," 400-404","USA, Washington State, Vancouver","",3.33,-122.6614861,45.6387281
"11","Eotetranychus carpini borealis","Acari","Tetranychidae","Eotetranychus","carpini borealis",9.44,25,59.33,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bounfour, M.and Tanigoshi, L.K.",2001,"Effect of temperature on development and demographic parameters of Tetranychus urticae and Eotetranychus carpini borealis (Acari: Tetranychidae).","Annals of the Entomological Society of America","94","400?404.","","",9.44,43.3729793,38.5012085
"12","Eotetranychus kankitus","Acari","Tetranychidae","Eotetranychus","kankitus",9.9,30,71.71,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Wang, K., Zeng, Z. and Huang, W.",1992,"Comparison of development rate and temperature for three citrus mites.","J. Southwest Agric. Univ","14 (1)","12?16 (in Chinese).","","",9.9,43.3729793,38.5012085
"13","Eotetranychus populi","Acari","Tetranychidae","Eotetranychus","populi",8.45,28,102.41,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Sun, X., Zhou ,C., Liu, Y., Liang, H. and Cui, Z.",1996,"Studies on bionomics and effective accumulated temperature of Eotetranychus populi (Koch) (Acariformes: Tetranychidae).","Acta Entomol. Sin.","39 (2)","166?172 (in Chinese).","","",8.45,43.3729793,38.5012085
